cycle,approach,C,EVU_raw,queue_len,arrival_rate,emergency,EVU_smooth,D,W,W_norm,Dprime,G_allocated,order_1,order_2,order_3,order_4,t_start,t_end,intergreen_L
0,N,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,0.0,60.0,2.0
0,E,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,62.0,122.0,2.0
0,S,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,124.0,184.0,2.0
0,W,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,186.0,246.0,2.0
1,N,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,0.0,60.0,2.0
1,E,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,62.0,122.0,2.0
1,S,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,124.0,184.0,2.0
1,W,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,186.0,246.0,2.0
2,N,10.0,1326.0,2.8000000000000003,0.8166666666666667,0,1201.824,120.1824,2.8000000000000003,1.0,120.7824,60,N,E,S,W,0.0,60.0,2.0
2,E,10.0,1326.0,0,0.8166666666666667,0,1201.824,120.1824,0,0.0,120.1824,60,N,E,S,W,62.0,122.0,2.0
2,S,10.0,1326.0,0,0.8166666666666667,0,1201.824,120.1824,0,0.0,120.1824,60,N,E,S,W,124.0,184.0,2.0
2,W,10.0,1326.0,0,0.8166666666666667,0,1201.824,120.1824,0,0.0,120.1824,60,N,E,S,W,186.0,246.0,2.0
0,N,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,0.0,60.0,2.0
0,E,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,62.0,122.0,2.0
0,S,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,124.0,184.0,2.0
0,W,10.0,377.0,0,0.6283333333333333,0,301.6,30.160000000000004,0,0.0,30.160000000000004,60,N,E,S,W,186.0,246.0,2.0
1,N,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,0.0,60.0,2.0
1,E,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,62.0,122.0,2.0
1,S,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,124.0,184.0,2.0
1,W,10.0,806.0,0,0.7116666666666667,0,705.1200000000001,70.51200000000001,0,0.0,70.51200000000001,60,N,E,S,W,186.0,246.0,2.0
2,N,10.0,1326.0,2.8000000000000003,0.8166666666666667,0,1201.824,120.1824,2.8000000000000003,1.0,120.7824,60,N,E,S,W,0.0,60.0,2.0
2,E,10.0,1326.0,0,0.8166666666666667,0,1201.824,120.1824,0,0.0,120.1824,60,N,E,S,W,62.0,122.0,2.0
2,S,10.0,1326.0,0,0.8166666666666667,0,1201.824,120.1824,0,0.0,120.1824,60,N,E,S,W,124.0,184.0,2.0
2,W,10.0,1326.0,0,0.8166666666666667,0,1201.824,120.1824,0,0.0,120.1824,60,N,E,S,W,186.0,246.0,2.0
